any,territori,codi_municipi,nom,illa,nivell,us,num_bens,valor_total_milers_eur,valor_mitja_eur
2025,07006 Artà,07006,Artà,MALLORCA,Municipi,Industrial,289.0,25145.59,87008.96
2025,07006 Artà,07006,Artà,MALLORCA,Municipi,Deportivo,20.0,12955.25,647762.5
2025,07006 Artà,07006,Artà,MALLORCA,Municipi,Suelo vacante,723.0,55920.02,77344.43
2025,07006 Artà,07006,Artà,MALLORCA,Municipi,Oficinas,25.0,2689.1,107564.0
2025,07006 Artà,07006,Artà,MALLORCA,Municipi,Edificio singular,5.0,2337.11,467422.0
2025,07006 Artà,07006,Artà,MALLORCA,Municipi,Religioso,8.0,2422.77,302846.25
2025,07006 Artà,07006,Artà,MALLORCA,Municipi,Espectáculos,1.0,,
2025,07006 Artà,07006,Artà,MALLORCA,Municipi,Residencial,5864.0,717418.07,122342.78
2025,07006 Artà,07006,Artà,MALLORCA,Municipi,Sanidad y beneficencia,12.0,3730.39,310865.83
2025,07006 Artà,07006,Artà,MALLORCA,Municipi,Otros usos,,,
2025,07007 Banyalbufar,07007,Banyalbufar,MALLORCA,Municipi,TOTAL USOS,818.0,66310.15,81063.75
2025,07007 Banyalbufar,07007,Banyalbufar,MALLORCA,Municipi,Almacén y estacionamiento,38.0,1116.71,29387.11
2025,07007 Banyalbufar,07007,Banyalbufar,MALLORCA,Municipi,Comercial,19.0,1143.76,60197.89
2025,07007 Banyalbufar,07007,Banyalbufar,MALLORCA,Municipi,Cultural,0.0,,
2025,07007 Banyalbufar,07007,Banyalbufar,MALLORCA,Municipi,Ocio y hostelería,9.0,5064.21,562690.0
2025,07007 Banyalbufar,07007,Banyalbufar,MALLORCA,Municipi,Industrial,72.0,967.06,13431.39
2025,07007 Banyalbufar,07007,Banyalbufar,MALLORCA,Municipi,Deportivo,5.0,724.04,144808.0
2025,07007 Banyalbufar,07007,Banyalbufar,MALLORCA,Municipi,Suelo vacante,36.0,1234.03,34278.61
2025,07007 Banyalbufar,07007,Banyalbufar,MALLORCA,Municipi,Oficinas,0.0,,
2025,07007 Banyalbufar,07007,Banyalbufar,MALLORCA,Municipi,Edificio singular,1.0,,
2025,07007 Banyalbufar,07007,Banyalbufar,MALLORCA,Municipi,Religioso,1.0,,
2025,07007 Banyalbufar,07007,Banyalbufar,MALLORCA,Municipi,Espectáculos,0.0,,
2025,07007 Banyalbufar,07007,Banyalbufar,MALLORCA,Municipi,Residencial,637.0,55819.3,87628.41
2025,07007 Banyalbufar,07007,Banyalbufar,MALLORCA,Municipi,Sanidad y beneficencia,0.0,,
2025,07007 Banyalbufar,07007,Banyalbufar,MALLORCA,Municipi,Otros usos,,,
2025,07008 Binissalem,07008,Binissalem,MALLORCA,Municipi,TOTAL USOS,4278.0,330389.99,77230.01
2025,07008 Binissalem,07008,Binissalem,MALLORCA,Municipi,Almacén y estacionamiento,897.0,23973.85,26726.7
2025,07008 Binissalem,07008,Binissalem,MALLORCA,Municipi,Comercial,171.0,13809.5,80757.31
2025,07008 Binissalem,07008,Binissalem,MALLORCA,Municipi,Cultural,11.0,8861.12,805556.36
2025,07008 Binissalem,07008,Binissalem,MALLORCA,Municipi,Ocio y hostelería,7.0,3925.89,560841.43
2025,07008 Binissalem,07008,Binissalem,MALLORCA,Municipi,Industrial,124.0,18013.09,145266.85
2025,07008 Binissalem,07008,Binissalem,MALLORCA,Municipi,Deportivo,12.0,3512.17,292680.83
2025,07008 Binissalem,07008,Binissalem,MALLORCA,Municipi,Suelo vacante,288.0,11868.7,41210.76
2025,07008 Binissalem,07008,Binissalem,MALLORCA,Municipi,Oficinas,48.0,4275.3,89068.75
2025,07008 Binissalem,07008,Binissalem,MALLORCA,Municipi,Edificio singular,2.0,,
2025,07008 Binissalem,07008,Binissalem,MALLORCA,Municipi,Religioso,2.0,,
2025,07008 Binissalem,07008,Binissalem,MALLORCA,Municipi,Espectáculos,0.0,,
2025,07008 Binissalem,07008,Binissalem,MALLORCA,Municipi,Residencial,2713.0,238046.4,87742.87
2025,07008 Binissalem,07008,Binissalem,MALLORCA,Municipi,Sanidad y beneficencia,3.0,,
2025,07008 Binissalem,07008,Binissalem,MALLORCA,Municipi,Otros usos,,,
2025,07009 Búger,07009,Búger,MALLORCA,Municipi,TOTAL USOS,567.0,48306.52,85196.68
2025,07009 Búger,07009,Búger,MALLORCA,Municipi,Almacén y estacionamiento,20.0,576.77,28838.5
2025,07009 Búger,07009,Búger,MALLORCA,Municipi,Comercial,4.0,368.1,92025.0
2025,07009 Búger,07009,Búger,MALLORCA,Municipi,Cultural,1.0,,
2025,07009 Búger,07009,Búger,MALLORCA,Municipi,Ocio y hostelería,2.0,,
2025,07009 Búger,07009,Búger,MALLORCA,Municipi,Industrial,37.0,888.29,24007.84
2025,07009 Búger,07009,Búger,MALLORCA,Municipi,Deportivo,1.0,,
2025,07009 Búger,07009,Búger,MALLORCA,Municipi,Suelo vacante,43.0,1920.7,44667.44
2025,07009 Búger,07009,Búger,MALLORCA,Municipi,Oficinas,1.0,,
2025,07009 Búger,07009,Búger,MALLORCA,Municipi,Edificio singular,1.0,,
2025,07009 Búger,07009,Búger,MALLORCA,Municipi,Religioso,3.0,,
2025,07009 Búger,07009,Búger,MALLORCA,Municipi,Espectáculos,0.0,,
