code,parent,urn,name#ca,name#es,name#en,description#ca,description#es,description#en
20030101_07015_D01_S004,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07015_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07015_D01_S004,"Districte D01, Secció S004 - Ciutadella de Menorca","Distrito D01, Sección S004 - Ciutadella de Menorca","District D01, Section S004 - Ciutadella de Menorca",,,
20030101_07015_D01_S005,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07015_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07015_D01_S005,"Districte D01, Secció S005 - Ciutadella de Menorca","Distrito D01, Sección S005 - Ciutadella de Menorca","District D01, Section S005 - Ciutadella de Menorca",,,
20030101_07015_D01_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07015_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07015_D01_O,Resta de Districte D01 - Ciutadella de Menorca,Resto de Distrito D01 - Ciutadella de Menorca,Rest of District D01 - Ciutadella de Menorca,,,
20030101_07015_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07015,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07015_D02,Districte D02 - Ciutadella de Menorca,Distrito D02 - Ciutadella de Menorca,District D02 - Ciutadella de Menorca,,,
20030101_07015_D02_S001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07015_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07015_D02_S001,"Districte D02, Secció S001 - Ciutadella de Menorca","Distrito D02, Sección S001 - Ciutadella de Menorca","District D02, Section S001 - Ciutadella de Menorca",,,
20030101_07015_D02_S002,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07015_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07015_D02_S002,"Districte D02, Secció S002 - Ciutadella de Menorca","Distrito D02, Sección S002 - Ciutadella de Menorca","District D02, Section S002 - Ciutadella de Menorca",,,
20030101_07015_D02_S003,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07015_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07015_D02_S003,"Districte D02, Secció S003 - Ciutadella de Menorca","Distrito D02, Sección S003 - Ciutadella de Menorca","District D02, Section S003 - Ciutadella de Menorca",,,
20030101_07015_D02_S004,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07015_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07015_D02_S004,"Districte D02, Secció S004 - Ciutadella de Menorca","Distrito D02, Sección S004 - Ciutadella de Menorca","District D02, Section S004 - Ciutadella de Menorca",,,
20030101_07015_D02_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07015_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07015_D02_O,Resta de Districte D02 - Ciutadella de Menorca,Resto de Distrito D02 - Ciutadella de Menorca,Rest of District D02 - Ciutadella de Menorca,,,
20030101_07015_D03,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07015,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07015_D03,Districte D03 - Ciutadella de Menorca,Distrito D03 - Ciutadella de Menorca,District D03 - Ciutadella de Menorca,,,
